animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
iguana,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
lizard,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
gecko,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
crocodile,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,3
alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,3
snake,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,3
python,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,3
boa,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,3
turtle,0,0,1,0,0,0,0,1,1,1,0,0,4,1,0,1,3
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
chameleon,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
salamander,0,0,1,0,0,1,0,1,1,1,0,0,4,1,0,0,5
axolotl,0,0,1,0,0,1,0,1,1,1,0,0,4,1,0,0,5
caecilian,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,5
eagle,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
falcon,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
owl,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
tiger,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
jaguar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
panther,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
bobcat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
ocelot,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
cougar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
coyote,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
fox,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
hyena,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
jackal,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
polar_bear,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
grizzly_bear,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
koala,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
panda,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
sloth,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
armadillo,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
anteater,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
rhinoceros,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
hippopotamus,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
warthog,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
tapir,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
zebra,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
crocodile,0,0,1,0,0,1,1,1,1,0,0,1,4,1,0,0,3
cobra,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
kangaroo,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1,1
koala,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
spider,0,0,1,0,0,0,1,0,0,1,0,0,8,0,0,0,6
snail,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
panda,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
whale,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,0,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
zebra,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
bat,1,0,0,1,1,0,1,1,1,1,0,0,2,1,0,0,1
armadillo,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
anteater,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
tapir,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
chimpanzee,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
sloth,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
rhinoceros,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
hippopotamus,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
rabbit,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
monkey,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
kangaroo,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1,1
alligator,0,0,1,0,0,1,1,1,1,0,0,1,4,1,0,0,3
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
parrot,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
